order_id,customer_id,order_date,channel,country,product_category,items_count,gross_amount_eur,discount_eur,net_amount_eur,fulfillment_status
ORD-2026-000001,CUST-100001,2026-01-04T10:14:22Z,web,Spain,Home Goods,3,154.80,12.00,142.80,Delivered
ORD-2026-000002,CUST-100002,2026-01-04T11:03:51Z,mobile,Germany,Apparel,2,89.50,0.00,89.50,Delivered
ORD-2026-000003,CUST-100003,2026-01-05T15:44:09Z,web,Italy,Electronics,1,629.99,40.00,589.99,Shipped
ORD-2026-000004,CUST-100004,2026-01-06T09:12:34Z,web,France,Beauty,2,72.40,5.00,67.40,Delivered
ORD-2026-000005,CUST-100005,2026-01-07T13:58:18Z,mobile,Netherlands,Home Goods,4,211.60,15.00,196.60,Delivered
ORD-2026-000006,CUST-100006,2026-01-08T17:24:05Z,web,Portugal,Accessories,2,96.20,0.00,96.20,Delivered
ORD-2026-000007,CUST-100007,2026-01-09T08:37:41Z,mobile,Ireland,Kitchen,3,184.50,10.00,174.50,Delivered
ORD-2026-000008,CUST-100008,2026-01-10T12:49:57Z,web,Belgium,Apparel,1,58.90,0.00,58.90,Processing
ORD-2026-000009,CUST-100009,2026-01-11T16:05:22Z,web,Austria,Electronics,1,749.00,50.00,699.00,Delivered
ORD-2026-000010,CUST-100010,2026-01-12T09:44:16Z,mobile,Poland,Sports,2,118.30,12.00,106.30,Delivered
ORD-2026-000011,CUST-100011,2026-01-14T14:11:48Z,web,Denmark,Beauty,3,139.75,10.00,129.75,Delivered
ORD-2026-000012,CUST-100012,2026-01-16T07:58:20Z,mobile,Sweden,Home Goods,2,104.40,0.00,104.40,Shipped
ORD-2026-000013,CUST-100013,2026-01-18T10:32:59Z,web,Spain,Accessories,1,44.20,0.00,44.20,Delivered
ORD-2026-000014,CUST-100014,2026-01-21T15:26:43Z,mobile,Germany,Electronics,2,392.80,20.00,372.80,Delivered
ORD-2026-000015,CUST-100015,2026-01-23T11:05:37Z,web,Italy,Apparel,4,176.95,15.00,161.95,Delivered
ORD-2026-000016,CUST-100016,2026-01-25T18:17:08Z,web,France,Kitchen,2,123.60,5.00,118.60,Delivered
ORD-2026-000017,CUST-100017,2026-01-28T08:41:55Z,mobile,Netherlands,Home Goods,5,268.10,20.00,248.10,Delivered
ORD-2026-000018,CUST-100018,2026-01-30T13:39:24Z,web,Portugal,Sports,2,87.70,0.00,87.70,Processing
ORD-2026-000019,CUST-100019,2026-02-01T16:28:09Z,mobile,Ireland,Beauty,3,145.80,12.00,133.80,Delivered
ORD-2026-000020,CUST-100020,2026-02-03T09:53:12Z,web,Belgium,Accessories,2,92.15,0.00,92.15,Delivered
ORD-2026-000021,CUST-100021,2026-02-05T12:14:44Z,web,Austria,Home Goods,4,238.40,18.00,220.40,Delivered
ORD-2026-000022,CUST-100022,2026-02-06T14:22:36Z,mobile,Poland,Apparel,1,63.50,0.00,63.50,Delivered
ORD-2026-000023,CUST-100023,2026-02-08T10:18:51Z,web,Denmark,Kitchen,3,131.25,10.00,121.25,Delivered
ORD-2026-000024,CUST-100024,2026-02-10T17:45:03Z,mobile,Sweden,Electronics,1,684.90,40.00,644.90,Shipped
ORD-2026-000025,CUST-100025,2026-02-12T08:26:11Z,web,Spain,Sports,2,119.40,12.00,107.40,Delivered
ORD-2026-000026,CUST-100026,2026-02-14T11:37:29Z,mobile,Germany,Accessories,3,98.70,5.00,93.70,Delivered
ORD-2026-000027,CUST-100027,2026-02-16T13:08:16Z,web,Italy,Beauty,1,54.30,0.00,54.30,Processing
ORD-2026-000028,CUST-100028,2026-02-18T15:22:58Z,mobile,France,Home Goods,4,244.60,20.00,224.60,Delivered
ORD-2026-000029,CUST-100029,2026-02-19T18:33:47Z,web,Netherlands,Electronics,2,571.80,30.00,541.80,Delivered
ORD-2026-000030,CUST-100030,2026-02-21T07:19:32Z,mobile,Portugal,Apparel,2,82.20,0.00,82.20,Delivered
ORD-2026-000031,CUST-100031,2026-02-23T10:43:05Z,web,Ireland,Kitchen,3,149.90,10.00,139.90,Delivered
ORD-2026-000032,CUST-100032,2026-02-24T13:57:48Z,web,Belgium,Accessories,2,75.60,5.00,70.60,Delivered
ORD-2026-000033,CUST-100033,2026-02-26T16:11:27Z,mobile,Austria,Beauty,2,109.40,0.00,109.40,Delivered
ORD-2026-000034,CUST-100034,2026-02-27T09:24:19Z,web,Poland,Home Goods,3,187.35,15.00,172.35,Delivered
ORD-2026-000035,CUST-100035,2026-03-01T12:05:41Z,mobile,Denmark,Apparel,1,66.10,0.00,66.10,Delivered
ORD-2026-000036,CUST-100036,2026-03-02T14:47:22Z,web,Sweden,Electronics,1,799.50,50.00,749.50,Shipped
ORD-2026-000037,CUST-100037,2026-03-03T17:36:08Z,mobile,Spain,Sports,4,168.80,12.00,156.80,Delivered
ORD-2026-000038,CUST-100038,2026-03-04T08:51:53Z,web,Germany,Home Goods,5,259.75,25.00,234.75,Delivered
ORD-2026-000039,CUST-100039,2026-03-05T11:12:47Z,mobile,Italy,Kitchen,2,127.90,5.00,122.90,Delivered
ORD-2026-000040,CUST-100040,2026-03-06T13:29:16Z,web,France,Beauty,1,49.80,0.00,49.80,Processing
